ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,USD Purchase Amount,USD Purchase Amount Clean
240,RUS,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-25,2019-12-25,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,38,0,0,0,0,0.0,0.0
241,NED,Limited,INITIAL_PURCHASE,Web,38.13,USD,2019-11-20,2020-02-20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,63,3,3,1,1,38.13,38.13
243,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-20,2099-01-01,No,No,Off,Other,Consumer,Web,No,Yes,69,15,5,12,4,189.0,189.0
245,KOR,Limited,INITIAL_PURCHASE,Web,39.0,EUR,2020-03-03,2020-06-07,No,Yes,On,Europe,Consumer,Web,No,Yes,3,0,0,0,0,42.900000000000006,42.900000000000006
246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,2020-03-15,2021-03-15,No,Yes,On,Europe,Consumer,Web,No,Yes,12,12,10,2,1,116.01,116.01
248,ENG,Limited,RENEWAL,Web,35.97,USD,2019-08-24,2020-05-27,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,35.97,35.97
249,ENG,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-03-04,2020-03-04,No,No,On,US/Canada,Consumer,Web,Yes,Yes,3,0,0,0,0,0.0,0.0
251,JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,2020-01-09,2020-04-09,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,14,1,1,1,1,41.46,41.46
254,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-12,2019-06-12,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,48,0,0,0,0,0.0,0.0
257,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-11-23,2019-11-23,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,6,4,4,2,0.0,0.0
258,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-04,2099-01-01,Yes,No,Off,Other,Consumer,Web,No,Yes,12,12,2,6,1,199.0,199.0
259,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-02,2099-01-01,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,29,10,6,4,2,189.0,189.0
266,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-02-23,2099-01-01,Yes,No,Off,US/Canada,Other,App,Yes,Yes,7,0,0,0,0,199.0,199.0
268,RUS,Lifetime,INITIAL_PURCHASE,Web,198.0,GBP,2019-11-29,2099-01-01,Yes,No,Off,Europe,Consumer,App,No,Yes,4,4,4,1,1,249.48,249.48
272,ESC,Limited,INITIAL_PURCHASE,Web,39.2,GBP,2020-01-24,2020-04-24,No,No,On,Europe,Consumer,Web,No,Yes,47,35,32,2,1,49.392,49.392
